2026-08-31 10:19:24.411 | INFO    | backend.main:_startup:51 | 服务已启动：数据库 sqlite:///E:\大学\本科毕业论文\frontend\backend\learning.db
2026-08-31 10:19:42.114 | INFO    | logging:callHandlers:1737 | 讲师会话已清空 script_id=2
2026-08-31 10:24:48.149 | INFO    | backend.main:_startup:51 | 服务已启动：数据库 sqlite:///E:\大学\本科毕业论文\frontend\backend\learning.db
2026-08-31 10:24:56.810 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=0 答对=0
2026-08-31 10:24:56.855 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:38:57.920 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=0 答对=0
2026-08-31 10:39:36.822 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=14 答对=7
2026-08-31 10:39:59.748 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=14 答对=7
2026-08-31 10:43:53.078 | INFO    | backend.main:_startup:51 | 服务已启动：数据库 sqlite:///E:\大学\本科毕业论文\frontend\backend\learning.db
2026-08-31 10:44:05.520 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:44:25.067 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:44:39.238 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:45:43.816 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:54:46.123 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:55:01.709 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:55:25.357 | INFO    | backend.main:_startup:51 | 服务已启动：数据库 sqlite:///E:\大学\本科毕业论文\frontend\backend\learning.db
2026-08-31 10:55:44.489 | INFO    | logging:callHandlers:1737 | 已解析文档 植物学AI.docx（13739 字符）
2026-08-31 10:57:37.583 | INFO    | logging:callHandlers:1737 | HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-31 10:57:37.601 | INFO    | logging:callHandlers:1737 | 剧本生成成功（第 1 次尝试）
2026-08-31 10:57:37.618 | INFO    | logging:callHandlers:1737 | 剧本已生成并落库 script_id=2
2026-08-31 10:57:37.625 | INFO    | logging:callHandlers:1737 | 学习目标匹配度评估完成 script_id=2 score=None
2026-08-31 10:58:01.642 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 10:58:17.640 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 11:01:31.177 | INFO    | backend.main:_startup:51 | 服务已启动：数据库 sqlite:///E:\大学\本科毕业论文\frontend\backend\learning.db
2026-08-31 11:02:46.476 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 11:02:56.268 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 11:03:03.495 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=1 答对=1
2026-08-31 11:03:13.049 | INFO    | logging:callHandlers:1737 | 讲师会话已清空 script_id=1
